time;nof_ue;dl_brate;ul_brate;proc_rmem;proc_rmem_kB;proc_vmem_kB;sys_mem;system_load;thread_count;cpu_0;cpu_1;cpu_2;cpu_3;cpu_4;cpu_5;cpu_6;cpu_7
206;1;56;4392.000000;4.4;711592;1907212;28;3.9;19;11;8.0;9.0;16;6.0;5.0;14;8.0
207;1;21006096.000000;819288.000000;4.4;711592;1907212;29;7.6;19;22;15;18;23;13;13;25;21
208;1;38087312.000000;839104.000000;4.4;711592;1907212;29;9.4;19;25;16;15;21;11;13;19;22
209;1;40277064.000000;856288.000000;4.4;711592;1907212;29;9.4;19;25;15;15;22;12;13;19;23
210;1;31087728.000000;706640.000000;4.4;711592;1907212;29;8.5;19;23;14;14;21;10;11;20;21
211;1;27194128.000000;694680.000000;4.4;711592;1907212;29;8.5;19;22;14;15;20;8.9;12;19;19
212;1;33639656.000000;682800.000000;4.4;711592;1907212;29;8.9;19;23;14;14;21;11;12;20;21
213;1;44026208.000000;802160.000000;4.4;711592;1907212;29;9.4;19;26;16;15;21;12;13;19;22
214;1;48234648.000000;846848.000000;4.4;711592;1907212;29;9.8;19;26;14;15;22;12;16;19;24
215;1;47954432.000000;838376.000000;4.4;711592;1907212;29;9.8;19;27;14;15;22;13;16;20;23
216;1;46548240.000000;852248.000000;4.4;711592;1907212;29;9.6;19;26;14;15;22;13;15;19;24
217;1;45641464.000000;832584.000000;4.4;711592;1907212;29;9.6;19;26;14;18;22;12;15;15;23
218;1;42256448.000000;848816.000000;4.4;711592;1907212;29;9.5;19;26;14;16;22;13;13;16;25
219;1;42306384.000000;855056.000000;4.4;711592;1907212;29;9.2;19;25;15;14;21;12;13;16;27
220;1;42341152.000000;839240.000000;4.4;711592;1907212;29;9.4;19;25;14;15;22;14;13;17;24
221;1;44521504.000000;884368.000000;4.4;711592;1907212;29;9.5;19;26;12;14;21;18;13;18;23
222;1;17562912.000000;483808.000000;4.4;711592;1907212;29;6.1;19;15;9.9;9.9;18;14;8.9;11;14
223;1;39568.000000;97280.000000;4.4;711592;1907212;29;3.9;19;10;9.0;8.0;16;13;8.0;7.0;9.0
224;1;0.0;0.0;4.4;711592;1907212;29;4.0;19;7.9;5.9;7.9;16;23;17;7.9;7.9
225;1;0.0;0.0;4.4;711592;1907212;29;3.9;19;8.9;5.9;7.9;16;13;18;7.9;7.9
